n,r,m
"(:Resource {rdfs__comment: Unit
UpperDeviation
LowerDeviation
ToleranceValue
NominalValue
ActualValue
AssemblyResultValue,owl__deprecated: true,uri: topDataProperty})",[:rdfs__subPropertyOf],(:Resource:owl__DatatypeProperty {uri: 公稱值})
"(:Resource {rdfs__comment: Unit
UpperDeviation
LowerDeviation
ToleranceValue
NominalValue
ActualValue
AssemblyResultValue,owl__deprecated: true,uri: topDataProperty})",[:rdfs__subPropertyOf],(:Resource:owl__DatatypeProperty {uri: 公差值})
"(:Resource {rdfs__comment: Unit
UpperDeviation
LowerDeviation
ToleranceValue
NominalValue
ActualValue
AssemblyResultValue,owl__deprecated: true,uri: topDataProperty})",[:rdfs__subPropertyOf],(:Resource:owl__DatatypeProperty {uri: 上偏差})
"(:Resource {rdfs__comment: Unit
UpperDeviation
LowerDeviation
ToleranceValue
NominalValue
ActualValue
AssemblyResultValue,owl__deprecated: true,uri: topDataProperty})",[:rdfs__subPropertyOf],(:Resource:owl__DatatypeProperty {uri: 下偏差})
"(:Resource:owl__Class {rdfs__comment: 控制尺寸數值允許變動範圍。,rdfs__label: SizeTolerance,uri: 尺寸類公差})",[:rdfs__subClassOf],"(:Resource:owl__Class {rdfs__comment: 控制圓弧或圓形特徵半徑允許變動範圍。,rdfs__label: RadiusTolerance(Rad),uri: 半徑公差})"
"(:Resource:owl__Class {rdfs__comment: 控制尺寸數值允許變動範圍。,rdfs__label: SizeTolerance,uri: 尺寸類公差})",[:rdfs__subClassOf],"(:Resource:owl__Class {rdfs__comment: 用於表示最大極限尺寸與最小極限尺寸之差。,rdfs__label: Tolerance,uri: 公差})"
"(:Resource:owl__Class {rdfs__comment: 控制尺寸數值允許變動範圍。,rdfs__label: SizeTolerance,uri: 尺寸類公差})",[:rdfs__subClassOf],"(:Resource:owl__Class {rdfs__comment: 控制圓柱或孔直徑允許變動範圍。,rdfs__label: DiameterTolerance(Dia),uri: 直徑公差})"
"(:Resource:owl__Class {rdfs__comment: 控制尺寸數值允許變動範圍。,rdfs__label: SizeTolerance,uri: 尺寸類公差})",[:rdfs__subClassOf],"(:Resource:owl__Class {rdfs__comment: 控制角度尺寸允許變動範圍。,rdfs__label: AngularSizeTolerance(Ang),uri: 角度公差})"
(:Resource:owl__ObjectProperty:owl__SymmetricProperty {uri: 有組裝接觸}),[:rdfs__domain],(:Resource:owl__Class {uri: 特徵面})
(:Resource:owl__ObjectProperty:owl__SymmetricProperty {uri: 有組裝接觸}),[:rdfs__range],(:Resource:owl__Class {uri: 特徵面})
(:Resource:owl__DatatypeProperty {uri: 上偏差}),[:rdfs__subPropertyOf],"(:Resource {rdfs__comment: Unit
UpperDeviation
LowerDeviation
ToleranceValue
NominalValue
ActualValue
AssemblyResultValue,owl__deprecated: true,uri: topDataProperty})"
"(:Resource:owl__Class {rdfs__comment: 控制圓弧或圓形特徵半徑允許變動範圍。,rdfs__label: RadiusTolerance(Rad),uri: 半徑公差})",[:rdfs__subClassOf],"(:Resource:owl__Class {rdfs__comment: 控制尺寸數值允許變動範圍。,rdfs__label: SizeTolerance,uri: 尺寸類公差})"
"(:Resource:owl__Class {rdfs__comment: 控制圓弧或圓形特徵半徑允許變動範圍。,rdfs__label: RadiusTolerance(Rad),uri: 半徑公差})",[:rdfs__domain],(:Resource:owl__ObjectProperty {uri: 有個別參考公差})
"(:Resource:owl__Class {rdfs__label: 控制平面平整程度之公差。公差區域限制在距離為t之兩平行平面間。,uri: 真平度公差})",[:rdfs__subClassOf],"(:Resource:owl__Class {rdfs__comment: 控制特徵自身幾何形狀之公差。,rdfs__label: FormTolerance,uri: 形狀類公差})"
"(:Resource:owl__Class {rdfs__label: 控制平面平整程度之公差。公差區域限制在距離為t之兩平行平面間。,uri: 真平度公差})",[:rdfs__domain],(:Resource:owl__ObjectProperty {uri: 有個別參考公差})
"(:Resource:owl__Class {rdfs__comment: 控制特徵相對基準之角度偏差。公差區域限制在相距t,且與基準線斜交成標註角度之兩平行平面之間。,rdfs__label: AngularityTolerance,uri: 傾斜度公差})",[:rdfs__subClassOf],"(:Resource:owl__Class {rdfs__comment: 控制特徵方向相對基準之偏差。,rdfs__label: OrientationTolerance,uri: 方向類公差})"
"(:Resource:owl__Class {rdfs__comment: 控制特徵相對基準之角度偏差。公差區域限制在相距t,且與基準線斜交成標註角度之兩平行平面之間。,rdfs__label: AngularityTolerance,uri: 傾斜度公差})",[:rdfs__domain],(:Resource:owl__ObjectProperty {uri: 有交互參考公差})
(:Resource:owl__Class {uri: 特徵面}),[:rdfs__domain],(:Resource:owl__ObjectProperty:owl__SymmetricProperty {uri: 有組裝接觸})
(:Resource:owl__Class {uri: 特徵面}),[:rdfs__subClassOf],(:Resource:owl__Class {uri: 平面})
(:Resource:owl__Class {uri: 特徵面}),[:rdfs__range],(:Resource:owl__ObjectProperty:owl__SymmetricProperty {uri: 有組裝接觸})
(:Resource:owl__Class {uri: 特徵面}),[:rdfs__range],(:Resource:owl__ObjectProperty {uri: 有個別參考公差})
(:Resource:owl__Class {uri: 特徵面}),[:rdfs__range],(:Resource:owl__ObjectProperty {uri: 有特徵面})
(:Resource:owl__Class {uri: 特徵面}),[:rdfs__range],(:Resource:owl__ObjectProperty {uri: 有交互參考公差})
(:Resource:owl__Class {uri: 特徵面}),[:rdfs__subClassOf],(:Resource:owl__Class {uri: 圓柱面})
(:Resource:owl__ObjectProperty {uri: 有零件}),[:rdfs__range],(:Resource:owl__Class {uri: 零件})
(:Resource:owl__ObjectProperty {uri: 有零件}),[:rdfs__subPropertyOf],(:Resource {uri: topObjectProperty})
(:Resource:owl__ObjectProperty {uri: 有零件}),[:rdfs__domain],(:Resource:owl__Class {uri: 組合件})
