n,r,m
(:Resource:ns0__平面:owl__NamedIndividual {uri: 轉動軸-P-3}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 轉動軸})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 轉動軸-C-5}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 轉動軸})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 轉動軸-C-6}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 轉動軸})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 轉動軸-S-3}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 轉動軸})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 轉動軸-P-4}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 轉動軸})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 編碼器心軸-P-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 編碼器心軸})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 編碼器心軸-P-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 編碼器心軸})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 編碼器心軸-P-3}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 編碼器心軸})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 編碼器心軸-S-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 編碼器心軸})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 編碼器心軸-P-4}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 編碼器心軸})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 編碼器心軸-S-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 編碼器心軸})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 編碼器心軸-S-3}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 編碼器心軸})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 編碼器心軸-P-5}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 編碼器心軸})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 編碼器心軸-S-4}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 編碼器心軸})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-3}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 軸承-C-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 軸承-H-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 軸承-C-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-4}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 軸承-C-3}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-5}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-6}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-7}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-8}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 軸承-C-4}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-9}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-10}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-11}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 軸承-C-5}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-12}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 軸承-C-6}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 軸承-C-7}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 軸承-H-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-13}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
